employeeId,name_feedback,total_feedback_count,average_rating,name_engagement,department,total_quizzes_taken,total_score,average_score,total_time_spent,engagement_score
191,Mary Ali,4,1.24,Mary Ali,FULL STACK,1,74,59.05,72,25.265000000000004
146,Ashley Scott,8,2.56,Ashley Scott,DATA SCIENCE,2,449,25.95,282,56.435
64,Steven Stewart,9,3.75,Steven Stewart,FULL STACK,9,272,76.09,155,72.589
222,Robin Young,9,4.77,Robin Young,DATA SCIENCE,6,390,77.21,407,80.54100000000001
86,Sarah Farrell,10,3.23,Sarah Farrell,DATA SCIENCE,10,270,2.86,152,67.046
175,Daniel Clark,6,2.51,Daniel Clark,DATA ENGINEERING,2,220,26.4,54,38.56
199,Tina Thompson,9,4.35,Tina Thompson,DATA SCIENCE,5,322,47.41,449,72.001
226,Sandra Martin,4,4.93,Sandra Martin,DATA SCIENCE,8,358,12.91,38,60.090999999999994
228,Kurt Walters,7,3.28,Kurt Walters,FULL STACK,10,273,7.71,482,68.451
159,Barbara Perez,9,3.97,Barbara Perez,DATA SCIENCE,1,306,22.19,498,60.29900000000001
175,Daniel Clark,2,2.91,Daniel Clark,DATA ENGINEERING,6,37,31.46,445,41.166
212,Linda Ayers,2,1.67,Linda Ayers,FULL STACK,1,411,24.98,479,41.198
72,Thomas Johnson,2,3.98,Thomas Johnson,DATA SCIENCE,5,128,44.55,487,49.235
53,Daniel Levine,4,2.84,Daniel Levine,FULL STACK,8,243,58.6,202,54.98
62,Joshua Wang,4,4.28,Joshua Wang,DATA ENGINEERING,4,81,43.32,472,50.132000000000005
19,Mark Adams,7,4.13,Mark Adams,DATA ENGINEERING,9,132,46.08,481,68.02799999999999
202,Nicholas Bennett,6,2.02,Nicholas Bennett,FULL STACK,2,472,46.95,98,49.614999999999995
40,David Knight,9,3.57,David Knight,DATA SCIENCE,10,398,45.12,257,77.852
175,Daniel Clark,9,1.83,Daniel Clark,DATA ENGINEERING,4,86,98.05,41,47.385
237,Craig Kim,4,3.1,Craig Kim,DATA ENGINEERING,1,151,72.35,190,39.474999999999994
111,Denise Wyatt,4,3.95,Denise Wyatt,FULL STACK,3,335,23.99,172,49.039
232,Chase Lynch,4,1.65,Chase Lynch,FULL STACK,7,400,67.81,187,55.121
25,Caroline Smith,4,4.62,Caroline Smith,DATA ENGINEERING,6,95,44.3,291,52.53
211,Austin Lawrence,4,4.45,Austin Lawrence,DATA SCIENCE,6,40,61.95,63,46.855
172,Tracy Moon,6,2.76,Tracy Moon,DATA ENGINEERING,10,300,14.05,62,57.685
202,Nicholas Bennett,6,2.45,Nicholas Bennett,FULL STACK,5,374,38.4,30,51.20000000000001
45,Briana Carey,5,3.76,Briana Carey,DATA SCIENCE,5,409,82.28,335,66.328
125,Maureen Turner,2,2.14,Maureen Turner,DATA SCIENCE,4,162,67.6,433,42.46000000000001
14,Debbie Hickman,1,1.51,Debbie Hickman,DATA SCIENCE,3,40,67.21,374,29.840999999999998
119,Elizabeth Williams,7,3.46,Elizabeth Williams,DATA ENGINEERING,2,29,19.2,69,36.300000000000004
102,Lauren Holland,1,3.31,Lauren Holland,FULL STACK,3,145,66.19,366,40.979000000000006
124,Michelle Baxter,1,3.97,Michelle Baxter,DATA SCIENCE,6,237,13.96,172,44.196
226,Sandra Martin,7,2.1,Sandra Martin,DATA SCIENCE,5,419,49.57,45,55.016999999999996
45,Briana Carey,1,3.59,Briana Carey,DATA SCIENCE,5,352,68.92,71,48.752
59,Justin Johnson,5,4.38,Justin Johnson,FULL STACK,9,178,8.54,109,55.67399999999999
30,Edward Perry,8,2.95,Edward Perry,DATA SCIENCE,1,353,57.94,463,58.974
62,Joshua Wang,8,1.39,Joshua Wang,DATA ENGINEERING,5,271,89.05,203,55.365
213,Autumn Nelson,5,2.11,Autumn Nelson,FULL STACK,9,158,18.17,90,46.376999999999995
51,David Adkins,1,2.72,David Adkins,DATA ENGINEERING,10,124,1.11,379,45.531
121,Jonathan Mason,10,4.34,Jonathan Mason,DATA ENGINEERING,1,368,12.49,34,56.009
48,Sara Jenkins,5,4.56,Sara Jenkins,DATA ENGINEERING,2,255,69.43,236,54.102999999999994
81,Amy Warner,5,1.9,Amy Warner,FULL STACK,4,128,76.38,441,47.178000000000004
111,Denise Wyatt,4,3.54,Denise Wyatt,FULL STACK,10,489,91.77,418,79.25699999999999
144,Ronnie Smith,2,3.66,Ronnie Smith,FULL STACK,8,300,69.6,117,55.940000000000005
107,Rachel Gutierrez,1,1.55,Rachel Gutierrez,DATA ENGINEERING,6,200,62.42,184,38.122
152,Mr. Joseph Ross,10,1.72,Mr. Joseph Ross,DATA SCIENCE,4,216,74.65,267,56.325
89,Jeffery Cervantes,3,3.0,Jeffery Cervantes,DATA SCIENCE,5,388,0.2,352,50.58
176,Brett Gentry,4,3.49,Brett Gentry,DATA ENGINEERING,10,304,59.98,391,67.938
153,Anthony Blair,10,3.49,Anthony Blair,DATA SCIENCE,2,256,30.89,146,54.209
158,Tyler Freeman,10,4.85,Tyler Freeman,DATA SCIENCE,2,384,16.93,102,62.492999999999995
126,Candace Bennett,7,4.82,Candace Bennett,DATA ENGINEERING,3,438,12.91,166,61.410999999999994
48,Sara Jenkins,1,2.16,Sara Jenkins,DATA ENGINEERING,2,44,50.64,380,29.064
136,Phillip Rivera,6,1.3,Phillip Rivera,DATA SCIENCE,3,178,0.67,454,39.467
239,Heather Johnson,6,3.12,Heather Johnson,DATA SCIENCE,9,152,65.32,175,58.592
192,Ashley Harris,4,3.77,Ashley Harris,DATA SCIENCE,9,142,23.32,472,58.532
208,Cameron Cardenas,8,2.79,Cameron Cardenas,DATA ENGINEERING,5,86,39.21,156,47.64099999999999
169,Adrian Brown,3,1.42,Adrian Brown,DATA SCIENCE,8,18,52.85,266,39.005
218,Barbara Mcdonald,4,2.04,Barbara Mcdonald,DATA SCIENCE,9,179,58.11,304,53.21099999999999
15,Elizabeth Ayala,9,3.8,Elizabeth Ayala,DATA SCIENCE,2,95,71.0,418,56.46
152,Mr. Joseph Ross,7,2.05,Mr. Joseph Ross,DATA SCIENCE,3,253,41.74,447,51.434
206,Riley Williams,9,2.28,Riley Williams,DATA SCIENCE,3,489,54.85,144,61.044999999999995
55,Christopher Herrera,3,2.59,Christopher Herrera,DATA ENGINEERING,8,129,45.97,121,44.537
206,Riley Williams,5,1.33,Riley Williams,DATA SCIENCE,7,374,11.64,40,46.244
14,Debbie Hickman,1,2.71,Debbie Hickman,DATA SCIENCE,1,30,49.42,158,24.142
154,Steven Blankenship,6,3.97,Steven Blankenship,DATA SCIENCE,5,447,82.85,158,67.205
197,Antonio Johnson,1,1.75,Antonio Johnson,DATA ENGINEERING,8,290,94.57,375,53.557
200,Eugene Benson,4,4.02,Eugene Benson,DATA ENGINEERING,8,482,84.38,214,72.078
100,Olivia King,7,4.87,Olivia King,DATA SCIENCE,5,118,84.36,366,63.956
233,John Brown,6,2.24,John Brown,DATA ENGINEERING,5,434,36.4,267,57.3
16,Allison Carter,5,3.12,Allison Carter,FULL STACK,9,493,21.83,267,67.723
226,Sandra Martin,8,3.61,Sandra Martin,DATA SCIENCE,7,26,41.95,412,57.915
46,Beth Thompson,7,2.94,Beth Thompson,DATA ENGINEERING,8,181,50.69,422,62.509
169,Adrian Brown,7,1.58,Adrian Brown,DATA SCIENCE,3,173,40.93,482,46.973
225,Melissa Galvan,4,3.54,Melissa Galvan,DATA SCIENCE,3,208,18.87,122,40.807
237,Craig Kim,2,2.25,Craig Kim,DATA ENGINEERING,7,94,45.13,239,40.053
210,Jacob Phillips,5,1.85,Jacob Phillips,DATA SCIENCE,1,0,49.45,76,25.865
202,Nicholas Bennett,5,4.85,Nicholas Bennett,FULL STACK,2,146,7.47,323,46.446999999999996
48,Sara Jenkins,4,1.33,Sara Jenkins,DATA ENGINEERING,5,87,34.45,158,33.405
85,Patricia Nelson,7,3.69,Patricia Nelson,FULL STACK,7,307,33.98,67,59.778000000000006
174,Jessica Payne,1,4.46,Jessica Payne,FULL STACK,3,204,64.01,49,41.38099999999999
21,Dominic Dickson,10,2.68,Dominic Dickson,FULL STACK,1,386,18.1,218,54.33
34,Karen Gray,4,3.55,Karen Gray,DATA SCIENCE,5,472,36.69,354,61.82899999999999
126,Candace Bennett,4,4.98,Candace Bennett,DATA ENGINEERING,7,348,51.45,53,62.04500000000001
51,David Adkins,7,1.91,David Adkins,DATA ENGINEERING,1,174,95.1,197,44.05
20,Mark Johnson,7,1.34,Mark Johnson,FULL STACK,3,77,94.46,361,45.105999999999995
114,Stacey Weeks,9,1.87,Stacey Weeks,DATA SCIENCE,5,263,12.66,469,56.646
176,Brett Gentry,4,1.57,Brett Gentry,DATA ENGINEERING,3,197,77.95,376,43.47500000000001
71,Michael Lee,5,4.76,Michael Lee,FULL STACK,8,174,80.91,188,63.851
37,Jessica Christian DDS,5,4.85,Jessica Christian DDS,DATA SCIENCE,2,288,38.76,77,50.336
51,David Adkins,7,3.77,David Adkins,DATA ENGINEERING,9,239,49.99,469,71.019
164,David Archer,2,4.49,David Archer,DATA SCIENCE,2,451,11.27,321,51.547000000000004
60,Bernard Hughes,8,1.12,Bernard Hughes,FULL STACK,8,103,1.32,453,49.792
151,Marissa Morrison,1,3.85,Marissa Morrison,DATA ENGINEERING,7,252,64.1,156,51.00999999999999
31,Nathan Hunt,1,3.76,Nathan Hunt,FULL STACK,7,259,65.53,52,48.992999999999995
41,Megan Horton,8,4.07,Megan Horton,DATA SCIENCE,5,293,3.15,39,55.095
225,Melissa Galvan,10,2.86,Melissa Galvan,DATA SCIENCE,5,280,83.97,293,66.89699999999999
54,Kelly Silva,6,1.29,Kelly Silva,DATA ENGINEERING,4,196,75.1,197,44.449999999999996
101,Jordan Williams,1,2.03,Jordan Williams,DATA ENGINEERING,1,259,75.92,246,34.992
212,Linda Ayers,2,1.18,Linda Ayers,FULL STACK,6,154,62.38,153,36.178000000000004
47,Michelle Mitchell,8,4.54,Michelle Mitchell,DATA SCIENCE,4,36,55.44,32,49.78399999999999
52,Melissa Skinner,2,2.75,Melissa Skinner,DATA SCIENCE,1,370,4.66,403,40.326
81,Amy Warner,1,4.54,Amy Warner,FULL STACK,3,98,30.2,223,37.56
35,Kathleen Richardson,3,2.56,Kathleen Richardson,DATA SCIENCE,5,368,40.43,410,53.203
49,Jennifer Miller,2,3.21,Jennifer Miller,FULL STACK,5,380,83.29,297,56.309
202,Nicholas Bennett,3,2.99,Nicholas Bennett,FULL STACK,1,102,65.21,489,40.341
87,Melanie Hayes,5,4.47,Melanie Hayes,DATA ENGINEERING,2,313,61.78,102,52.617999999999995
34,Karen Gray,8,2.49,Karen Gray,DATA SCIENCE,5,424,52.99,90,60.019
192,Ashley Harris,10,4.2,Ashley Harris,DATA SCIENCE,6,352,36.49,84,68.209
223,Edward Giles,9,1.12,Edward Giles,DATA SCIENCE,10,212,55.35,234,61.175000000000004
193,Taylor Marsh,1,1.17,Taylor Marsh,FULL STACK,2,178,0.57,35,18.556999999999995
39,David Mcconnell,9,2.49,David Mcconnell,DATA ENGINEERING,9,232,97.45,364,72.265
159,Barbara Perez,5,4.91,Barbara Perez,DATA SCIENCE,1,239,79.56,486,58.876000000000005
170,Brandy Powell,7,2.87,Brandy Powell,DATA ENGINEERING,10,104,20.15,296,57.575
98,Kevin Miller,8,1.62,Kevin Miller,FULL STACK,2,392,63.25,320,54.885
63,Jeffrey Barr,4,4.73,Jeffrey Barr,DATA SCIENCE,6,288,37.58,157,57.338
216,Mrs. Brittany Wilson,2,2.54,Mrs. Brittany Wilson,DATA ENGINEERING,1,447,40.75,140,40.91499999999999
24,Brooke Evans,4,1.99,Brooke Evans,DATA SCIENCE,5,150,48.69,452,45.869
183,Andrew Cox,10,2.24,Andrew Cox,DATA SCIENCE,7,77,69.9,246,57.95
219,Monica Roach,10,3.39,Monica Roach,DATA ENGINEERING,1,434,61.45,412,67.305
178,Sabrina Wilson,6,4.49,Sabrina Wilson,FULL STACK,5,30,27.94,476,53.474000000000004
63,Jeffrey Barr,10,2.33,Jeffrey Barr,DATA SCIENCE,9,27,88.33,97,59.172999999999995
219,Monica Roach,6,2.63,Monica Roach,DATA ENGINEERING,5,1,92.59,424,50.29899999999999
210,Jacob Phillips,5,2.3,Jacob Phillips,DATA SCIENCE,6,16,79.29,425,48.269
20,Mark Johnson,2,4.09,Mark Johnson,FULL STACK,1,456,79.9,386,56.31
144,Ronnie Smith,6,3.39,Ronnie Smith,FULL STACK,9,251,92.26,472,72.266
89,Jeffery Cervantes,8,1.06,Jeffery Cervantes,DATA SCIENCE,1,439,29.06,79,44.285999999999994
63,Jeffrey Barr,5,3.89,Jeffrey Barr,DATA SCIENCE,3,207,34.65,366,50.62500000000001
82,Lisa Forbes,5,3.81,Lisa Forbes,FULL STACK,3,102,17.81,151,40.121
60,Bernard Hughes,3,2.44,Bernard Hughes,FULL STACK,5,176,97.47,77,44.086999999999996
205,Carla Flores,2,4.95,Carla Flores,FULL STACK,5,80,62.58,463,52.518
184,Alexa Gardner,9,2.45,Alexa Gardner,DATA ENGINEERING,8,146,98.07,429,68.027
165,Gabrielle Bright,7,3.9,Gabrielle Bright,DATA SCIENCE,2,163,24.16,92,44.376000000000005
218,Barbara Mcdonald,1,4.41,Barbara Mcdonald,DATA SCIENCE,1,400,29.7,375,48.11
216,Mrs. Brittany Wilson,7,4.44,Mrs. Brittany Wilson,DATA ENGINEERING,2,15,99.18,352,53.318000000000005
140,Bryan Young,9,3.7,Bryan Young,DATA SCIENCE,10,20,92.89,271,68.309
1,Stephen Escobar,6,2.95,Stephen Escobar,DATA SCIENCE,6,204,66.08,199,54.54799999999999
85,Patricia Nelson,6,3.36,Patricia Nelson,FULL STACK,2,202,0.95,409,45.794999999999995
6,David Walker,3,4.31,David Walker,FULL STACK,8,254,85.62,145,60.86199999999999
53,Daniel Levine,2,3.67,Daniel Levine,FULL STACK,3,392,72.12,49,48.552
97,Jessica Rice,5,3.1,Jessica Rice,DATA SCIENCE,2,27,6.44,488,37.88399999999999
111,Denise Wyatt,6,3.34,Denise Wyatt,FULL STACK,6,148,3.25,278,49.165000000000006
79,Timothy Williams,4,3.69,Timothy Williams,FULL STACK,9,369,28.45,62,59.605
125,Maureen Turner,4,2.36,Maureen Turner,DATA SCIENCE,3,343,53.37,357,49.637
102,Lauren Holland,5,3.02,Lauren Holland,FULL STACK,4,213,73.94,131,48.61399999999999
219,Monica Roach,7,4.74,Monica Roach,DATA ENGINEERING,5,115,93.69,217,61.269000000000005
161,Christine Thompson,4,3.75,Christine Thompson,DATA ENGINEERING,7,64,98.4,428,57.96000000000001
84,Lauren Higgins MD,4,2.5,Lauren Higgins MD,FULL STACK,6,32,65.29,397,45.748999999999995
168,Karen Barrera,8,2.21,Karen Barrera,DATA ENGINEERING,5,462,6.6,463,63.24
153,Anthony Blair,1,3.97,Anthony Blair,DATA SCIENCE,7,423,57.5,478,64.11
10,James Whitehead,10,1.61,James Whitehead,DATA SCIENCE,10,304,45.37,103,65.19699999999999
149,Jon Orr,7,1.13,Jon Orr,DATA ENGINEERING,8,136,89.18,361,56.09799999999999
27,Dr. Rachel Reed MD,10,2.87,Dr. Rachel Reed MD,DATA ENGINEERING,6,344,80.17,256,70.37700000000001
111,Denise Wyatt,9,2.19,Denise Wyatt,FULL STACK,3,19,53.07,378,46.387
126,Candace Bennett,1,2.41,Candace Bennett,DATA ENGINEERING,9,67,95.28,37,42.588
228,Kurt Walters,8,4.89,Kurt Walters,FULL STACK,1,321,5.17,400,58.91700000000001
76,Jennifer Morales,1,3.01,Jennifer Morales,FULL STACK,10,439,95.21,396,69.041
108,Crystal Gordon,1,2.69,Crystal Gordon,DATA ENGINEERING,3,31,96.17,452,38.657000000000004
103,Mr. Micheal Johnson,7,1.59,Mr. Micheal Johnson,DATA ENGINEERING,8,464,10.5,281,61.59
232,Chase Lynch,3,2.33,Chase Lynch,FULL STACK,6,383,77.39,133,53.039
50,Fernando Morgan,5,3.66,Fernando Morgan,DATA ENGINEERING,3,201,14.23,80,41.703
48,Sara Jenkins,9,3.14,Sara Jenkins,DATA ENGINEERING,4,47,55.46,433,54.646
148,Andre Francis,10,1.5,Andre Francis,FULL STACK,1,408,66.92,187,54.752
140,Bryan Young,8,4.4,Bryan Young,DATA SCIENCE,4,446,56.64,450,74.104
121,Jonathan Mason,8,1.19,Jonathan Mason,DATA ENGINEERING,4,242,44.75,397,50.855
181,Sandy Clark,2,4.24,Sandy Clark,FULL STACK,7,60,22.71,159,42.811
191,Mary Ali,1,4.53,Mary Ali,FULL STACK,2,310,47.51,51,42.291000000000004
99,Christina Hudson,6,4.18,Christina Hudson,DATA SCIENCE,8,32,39.47,188,53.707
81,Amy Warner,10,2.8,Amy Warner,FULL STACK,10,481,44.07,477,84.387
155,Rose Taylor,2,1.24,Rose Taylor,FULL STACK,7,189,42.59,45,35.679
57,Desiree Chung,8,3.9,Desiree Chung,DATA ENGINEERING,7,394,75.93,122,71.393
17,Michael Graves,3,1.87,Michael Graves,DATA SCIENCE,4,298,25.13,86,37.632999999999996
235,Kenneth Anderson,3,4.09,Kenneth Anderson,DATA SCIENCE,9,265,31.48,419,62.488
75,John Fletcher,7,1.79,John Fletcher,DATA SCIENCE,3,60,15.49,348,38.068999999999996
225,Melissa Galvan,9,1.21,Melissa Galvan,DATA SCIENCE,5,20,46.46,69,39.666000000000004
86,Sarah Farrell,1,3.23,Sarah Farrell,DATA SCIENCE,6,5,26.77,452,38.837
44,Dawn Martinez,8,2.56,Dawn Martinez,DATA ENGINEERING,5,91,32.13,419,51.473
65,Lisa Simpson DDS,9,4.22,Lisa Simpson DDS,DATA SCIENCE,1,351,92.47,346,67.08699999999999
17,Michael Graves,9,1.45,Michael Graves,DATA SCIENCE,9,178,15.21,344,57.321
11,John Dixon,3,1.05,John Dixon,DATA ENGINEERING,7,30,38.06,78,30.766
5,Kylie Phillips,10,1.94,Kylie Phillips,DATA SCIENCE,3,24,40.68,143,41.647999999999996
93,Reginald Turner,5,4.02,Reginald Turner,DATA ENGINEERING,9,156,26.35,121,55.375
211,Austin Lawrence,5,4.75,Austin Lawrence,DATA SCIENCE,2,353,32.29,355,57.449
223,Edward Giles,1,2.18,Edward Giles,DATA SCIENCE,2,177,83.59,44,31.039
209,Daniel Lozano,5,4.31,Daniel Lozano,FULL STACK,3,204,25.65,301,49.984999999999985
174,Jessica Payne,3,3.58,Jessica Payne,FULL STACK,8,10,82.47,120,47.367
63,Jeffrey Barr,1,4.79,Jeffrey Barr,DATA SCIENCE,9,23,81.21,240,53.00099999999999
13,Scott Mcknight,6,4.12,Scott Mcknight,DATA ENGINEERING,3,35,45.73,305,46.553000000000004
48,Sara Jenkins,9,2.51,Sara Jenkins,DATA ENGINEERING,2,471,58.52,303,62.792
96,Robert Soto,5,2.64,Robert Soto,DATA SCIENCE,9,206,39.41,83,52.40100000000001
128,Todd Woods,6,1.65,Todd Woods,DATA ENGINEERING,4,350,99.78,481,60.198
110,Nathaniel Johnson,1,3.91,Nathaniel Johnson,DATA ENGINEERING,4,240,17.14,247,41.894
140,Bryan Young,9,2.43,Bryan Young,DATA SCIENCE,3,83,66.1,439,52.43
88,Danny Perez,10,4.42,Danny Perez,DATA SCIENCE,4,119,82.62,455,67.80199999999999
70,Michael Schwartz,5,1.32,Michael Schwartz,FULL STACK,1,79,41.61,361,31.820999999999998
72,Thomas Johnson,9,2.78,Thomas Johnson,DATA SCIENCE,5,279,5.61,410,59.041
8,Caitlin Howard,10,1.0,Caitlin Howard,DATA SCIENCE,4,301,98.93,224,58.413
142,Todd Aguilar,1,3.04,Todd Aguilar,DATA SCIENCE,2,64,88.73,91,31.413
195,Michael Carr,8,1.77,Michael Carr,DATA ENGINEERING,10,434,18.99,42,63.179
188,Jeffery Vaughan,3,4.29,Jeffery Vaughan,DATA SCIENCE,4,124,37.49,484,49.549
233,John Brown,6,4.73,John Brown,DATA ENGINEERING,1,137,91.92,441,56.412000000000006
215,Matthew Jimenez,6,4.63,Matthew Jimenez,FULL STACK,6,32,51.24,277,54.464
172,Tracy Moon,6,3.86,Tracy Moon,DATA ENGINEERING,8,23,84.92,374,60.33200000000001
101,Jordan Williams,10,4.32,Jordan Williams,DATA ENGINEERING,8,297,38.59,83,70.67899999999999
74,Katie Reynolds,10,4.53,Katie Reynolds,FULL STACK,5,152,84.37,255,67.737
47,Michelle Mitchell,1,2.48,Michelle Mitchell,DATA SCIENCE,5,471,9.42,109,43.882000000000005
56,Christopher Ryan,7,4.05,Christopher Ryan,DATA SCIENCE,4,194,24.01,499,58.34100000000001
114,Stacey Weeks,2,2.56,Stacey Weeks,DATA SCIENCE,1,491,19.88,449,46.848
15,Elizabeth Ayala,9,1.32,Elizabeth Ayala,DATA SCIENCE,8,290,61.11,469,66.371
139,Stacey Rogers,10,1.87,Stacey Rogers,FULL STACK,5,400,28.2,239,61.080000000000005
129,Lori Ibarra,1,4.53,Lori Ibarra,DATA ENGINEERING,10,364,16.98,209,60.55800000000001
115,Jonathan Powell,1,4.41,Jonathan Powell,DATA ENGINEERING,1,156,77.67,106,37.767
69,Andres Vance,1,3.89,Andres Vance,FULL STACK,3,384,58.49,260,49.96900000000001
63,Jeffrey Barr,9,4.01,Jeffrey Barr,DATA SCIENCE,2,277,38.29,30,53.54900000000001
188,Jeffery Vaughan,3,3.89,Jeffery Vaughan,DATA SCIENCE,6,447,72.6,294,64.58
45,Briana Carey,10,2.52,Briana Carey,DATA SCIENCE,9,24,52.79,45,55.219
228,Kurt Walters,8,3.03,Kurt Walters,FULL STACK,1,30,96.03,35,41.623
216,Mrs. Brittany Wilson,5,2.64,Mrs. Brittany Wilson,DATA ENGINEERING,8,224,37.03,165,52.523
176,Brett Gentry,7,3.97,Brett Gentry,DATA ENGINEERING,8,479,88.81,142,76.76100000000001
98,Kevin Miller,2,1.27,Kevin Miller,FULL STACK,10,126,97.44,196,47.784
27,Dr. Rachel Reed MD,9,2.86,Dr. Rachel Reed MD,DATA ENGINEERING,2,156,77.28,91,49.228
172,Tracy Moon,2,1.75,Tracy Moon,DATA ENGINEERING,6,392,84.03,161,50.303
17,Michael Graves,4,1.2,Michael Graves,DATA SCIENCE,4,256,58.07,426,45.367000000000004
189,Anna Nguyen,5,4.96,Anna Nguyen,DATA SCIENCE,9,305,17.98,66,63.15800000000001
25,Caroline Smith,6,4.07,Caroline Smith,DATA ENGINEERING,3,281,10.88,219,50.98800000000001
91,Stephen Johns,10,2.95,Stephen Johns,DATA SCIENCE,9,445,25.31,411,78.351
5,Kylie Phillips,5,4.01,Kylie Phillips,DATA SCIENCE,5,459,3.89,177,58.329
90,Danielle Brewer,5,3.5,Danielle Brewer,DATA SCIENCE,6,345,16.09,311,57.629
155,Rose Taylor,1,4.04,Rose Taylor,FULL STACK,6,349,40.1,137,50.87
159,Barbara Perez,7,1.02,Barbara Perez,DATA SCIENCE,7,313,72.34,487,61.574
178,Sabrina Wilson,8,2.82,Sabrina Wilson,FULL STACK,10,243,55.78,194,66.458
126,Candace Bennett,5,2.04,Candace Bennett,DATA ENGINEERING,5,395,9.93,293,50.813
3,Mary Cooper,4,3.92,Mary Cooper,FULL STACK,7,419,0.63,438,63.263
2,Wendy Keith,10,1.77,Wendy Keith,FULL STACK,10,87,21.3,71,54.11
201,Steven Harris,9,4.36,Steven Harris,FULL STACK,8,237,10.96,310,68.21600000000001
67,Brendan Washington,5,3.7,Brendan Washington,FULL STACK,10,255,91.25,71,65.545
